Titulo,Autor,Calificacion,Categoria,Portada,Ancho,Alto
David Mitchell: Back Story,David Mitchell,4.0,Art-Photography,./imagenes/00000.jpg,147,220
Your Beauty Mark,Dita von Teese,4.0,Art-Photography,./imagenes/00001.jpg,195,219
Book of Longing,Leonard Cohen,4.0,Art-Photography,./imagenes/00002.jpg,130,200
On Photography,Susan Sontag,4.0,Art-Photography,./imagenes/00003.jpg,117,202
Atlas of Human Anatomy for the Artist,Stephen Rogers Peck,4.0,Art-Photography,./imagenes/00004.jpg,154,220
Meetings with Remarkable Manuscripts,Christopher De Hamel,4.5,Art-Photography,./imagenes/00005.jpg,143,220
The Liberty Colouring Book,,4.0,Art-Photography,./imagenes/00006.jpg,158,220
Bonkers,Jennifer Saunders,4.0,Art-Photography,./imagenes/00007.jpg,143,216
The Swerve,Stephen J. Greenblatt,4.0,Art-Photography,./imagenes/00008.jpg,146,220
Chasers of the Light,Tyler Knott Gregson,4.0,Art-Photography,./imagenes/00009.jpg,161,220
The Illuminated Tarot,Caitlin Keegan,4.5,Art-Photography,./imagenes/00010.jpg,135,171
Fun with Dinosaur Stencils,Albert G. Smith,4.5,Art-Photography,./imagenes/00011.jpg,161,220
The Street Photographer's Manual,David Gibson,4.0,Art-Photography,./imagenes/00012.jpg,169,220
Plant Style,Alana Langan,3.5,Art-Photography,./imagenes/00013.jpg,132,174
Improve your sight-reading! Piano Grade 4,Paul Harris,5.0,Art-Photography,./imagenes/00014.jpg,165,220
Frederic Chopin,Frederic Chopin,4.5,Art-Photography,./imagenes/00015.jpg,166,220
Art as Therapy,Alain de Botton,4.0,Art-Photography,./imagenes/00016.jpg,168,220
How to Draw Anything,Mark Linley,3.5,Art-Photography,./imagenes/00017.jpg,142,218
Hygge,Marie Tourell Söderberg,3.5,Art-Photography,./imagenes/00018.jpg,174,220
Suzuki Piano School Volume 1 with CD,Dr. Shinichi Suzuki,4.5,Art-Photography,./imagenes/00019.jpg,171,220
Rhett & Link's Book of Mythicality,Rhett McLaughlin,4.5,Art-Photography,./imagenes/00020.jpg,178,220
Nib + Ink,Chiara Perano,4.0,Art-Photography,./imagenes/00021.jpg,162,211
The Pianist,Wladyslaw Szpilman,4.0,Art-Photography,./imagenes/00022.jpg,137,220
The Steal Like An Artist Logbook,Austin Kleon,4.0,Art-Photography,./imagenes/00023.jpg,166,220
Doctor Who: Dalek Collectible Figurine and Illustrated Book,Richard Dinnick,4.5,Art-Photography,./imagenes/00024.jpg,153,63
Hal Leonard Guitar Method Book 1 Second Edition,Will Schmid,4.0,Art-Photography,./imagenes/00025.jpg,165,220
Hal Leonard Student Piano Library,Phillip Keveren,4.0,Art-Photography,./imagenes/00026.jpg,165,220
Star Wars: The Jedi Path,Daniel Wallace,4.0,Art-Photography,./imagenes/00027.jpg,152,220
William Eggleston's Guide,William Eggleston,4.0,Art-Photography,./imagenes/00028.jpg,205,204
John Thompson's Modern Course for the Piano,John Thompson,4.5,Art-Photography,./imagenes/00029.jpg,166,220
"Alfred's Basic Piano Library Lesson Book- Bk 3",Willard A Palmer,4.0,Art-Photography,./imagenes/00030.jpg,165,220
The Art Of Charlie Chan Hock Chye,Sonny Liew,4.5,Art-Photography,./imagenes/00031.jpg,147,220
Doctor Who: Official Annual 2016,Various,3.5,Art-Photography,./imagenes/00032.jpg,171,220
"F*ck- That's Delicious",Action Bronson,4.0,Art-Photography,./imagenes/00033.jpg,174,220
Spirit Animals Coloring Book,Hanna Karlzon,5.0,Art-Photography,./imagenes/00034.jpg,176,215
National Geographic The Photographs,Leah Bendavid-Val,4.5,Art-Photography,./imagenes/00035.jpg,200,220
The Maddie Diaries,Maddie Ziegler,4.0,Art-Photography,./imagenes/00036.jpg,144,216
Whiskey in a Teacup,Reese Witherspoon,3.5,Art-Photography,./imagenes/00037.jpg,174,215
Avatar: The Last Airbender - Smoke And Shadow Library Edition,Gene Luen Yang,4.5,Art-Photography,./imagenes/00038.jpg,165,220
Totally Tangled,Sandy Bartholomew,4.0,Art-Photography,./imagenes/00039.jpg,169,167
Advanced Style,Ari Seth Cohen,4.5,Art-Photography,./imagenes/00040.jpg,180,218
Drawing for the Absolute Beginner,Mark Willenbrink,4.0,Art-Photography,./imagenes/00041.jpg,170,220
The Art of My Neighbor Totoro,Hayao Miyazaki,4.5,Art-Photography,./imagenes/00042.jpg,143,192
Zakka Embroidery,Yumiko Higuchi,4.5,Art-Photography,./imagenes/00043.jpg,180,128
Accelerated Piano Adventures for the Older Beginner - Lesson Book 1,Nancy Faber,4.0,Art-Photography,./imagenes/00044.jpg,165,215
Chromatopia:An Illustrated History of Colour,David Coles,4.5,Art-Photography,./imagenes/00045.jpg,163,215
"Music Theory Past Papers 2014- ABRSM Grade 5",ABRSM,0.0,Art-Photography,./imagenes/00046.jpg,165,220
David Bowie Is,Victoria Broackes,4.5,Art-Photography,./imagenes/00047.jpg,171,220
Different Every Night,Mike Alfreds,4.5,Art-Photography,./imagenes/00048.jpg,137,205
"Piano Specimen Sight-Reading Tests- Grade 3",ABRSM,3.0,Art-Photography,./imagenes/00049.jpg,165,220
In the Blink of An Eye,Walter Murch,4.0,Art-Photography,./imagenes/00050.jpg,133,205
Really RELAXING Colouring Book 7,Elizabeth James,4.0,Art-Photography,./imagenes/00051.jpg,170,220
Leaf Supply,Lauren Camilleri,4.0,Art-Photography,./imagenes/00052.jpg,185,215
The Dog in Photography 1839-Today,Raymond Merritt,4.5,Art-Photography,./imagenes/00053.jpg,166,220
Poco Piano for Young Children Book Two,Ying Ying Ng,0.0,Art-Photography,./imagenes/00054.jpg,180,134
Slash: The Autobiography,Slash,4.0,Biography,./imagenes/00055.jpg,141,215
An Autobiography,Agatha Christie,4.5,Biography,./imagenes/00056.jpg,140,215
Just Kids,Patti Smith,4.0,Biography,./imagenes/00057.jpg,146,220
How To Be a Woman,Caitlin Moran,3.5,Biography,./imagenes/00058.jpg,140,220
Moab Is My Washpot,Stephen Fry,4.0,Biography,./imagenes/00059.jpg,138,208
The Complete MAUS,Art Spiegelman,4.5,Biography,./imagenes/00060.jpg,152,220
Napoleon the Great,Andrew Roberts,4.0,Biography,./imagenes/00061.jpg,142,220
The Road to Wigan Pier,George Orwell,4.0,Biography,./imagenes/00062.jpg,144,220
The Kiwi Pair,Eric Murray,4.5,Biography,./imagenes/00063.jpg,144,220
Paris and Other Disappointments,Adam Rozenbachs,0.0,Biography,./imagenes/00064.jpg,140,215
The Return of the Prodigal Son,Henri J. M. Nouwen,4.5,Biography,./imagenes/00065.jpg,135,205
Silence,Erling Kagge,4.0,Biography,./imagenes/00066.jpg,157,220
"Finding Ultra- Edition",Rich Roll,4.0,Biography,./imagenes/00067.jpg,143,220
Bossypants,Tina Fey,4.0,Biography,./imagenes/00068.jpg,142,220
Michael Jordan,Roland Lazenby,4.5,Biography,./imagenes/00069.jpg,143,220
A Prison Diary Volume II,ARCHER JEFFREY,3.5,Biography,./imagenes/00070.jpg,136,220
The Hiding Place,Corrie Ten Boom,4.5,Biography,./imagenes/00071.jpg,144,220
Escobar,Roberto Escobar,4.0,Biography,./imagenes/00072.jpg,144,220
The Power Broker,Robert A. Caro,4.5,Biography,./imagenes/00073.jpg,144,220
"Narrative of the Life of Frederick Douglass- an American Slave",Frederick Douglass,4.0,Biography,./imagenes/00074.jpg,139,220
Not Without My Daughter,Betty Mahmoody,4.0,Biography,./imagenes/00075.jpg,119,200
The Prettiest Horse in the Glue Factory,Corey White,4.5,Biography,./imagenes/00076.jpg,144,220
The Years of Lyndon Johnson,Robert A. Caro,4.5,Biography,./imagenes/00077.jpg,147,220
Masters Of Doom,David Kushner,4.5,Biography,./imagenes/00078.jpg,143,220
The Disaster Artist,Greg Sestero,4.5,Biography,./imagenes/00079.jpg,143,220
Love Is a Mix Tape,Rob Sheffield,4.0,Biography,./imagenes/00080.jpg,142,220
No Easy Day,Mark Owen,4.0,Biography,./imagenes/00081.jpg,144,220
Battle Hymn of the Tiger Mother,Amy Chua,3.5,Biography,./imagenes/00082.jpg,135,214
Quiet Girl in a Noisy World,Debbie Tung,4.5,Biography,./imagenes/00083.jpg,175,215
Innovators,Walter Isaacson,4.0,Biography,./imagenes/00084.jpg,145,220
Blowing the Bloody Doors Off,Michael Caine,4.0,Biography,./imagenes/00085.jpg,143,220
Afterlife of Billy Fingers,Annie Kagan,4.0,Biography,./imagenes/00086.jpg,142,220
Walking Free,Dr. Munjed Al Muderis,4.0,Biography,./imagenes/00087.jpg,144,220
Not My Father's Son,Alan Cumming,4.0,Biography,./imagenes/00088.jpg,143,220
Educated,Tara Westover,4.5,Biography,./imagenes/00089.jpg,138,220
